item,itemLabel,orcid
https://portal.mardi4nfdi.de/entity/Q58658,Dinesh Kumar Barupal,0000-0002-9954-8628
https://portal.mardi4nfdi.de/entity/Q58687,Adrian A. Correndo,0000-0002-4172-289X
https://portal.mardi4nfdi.de/entity/Q58688,Luiz H. Moro Rosso,0000-0002-8642-911X
https://portal.mardi4nfdi.de/entity/Q58689,Rai Schwalbert,0000-0001-8488-7507
https://portal.mardi4nfdi.de/entity/Q58690,Carlos Hernandez,0000-0001-5171-2516
https://portal.mardi4nfdi.de/entity/Q58691,Leonardo M. Bastos,0000-0001-8958-6527
https://portal.mardi4nfdi.de/entity/Q58692,Luciana Nieto,0000-0002-7172-0799
https://portal.mardi4nfdi.de/entity/Q58695,Ignacio A Ciampitti,0000-0001-9619-5129
https://portal.mardi4nfdi.de/entity/Q58734,Rik C Schoemaker,0000-0002-7538-3005
https://portal.mardi4nfdi.de/entity/Q58738,Justin J Wilkins,0000-0002-7099-9396
https://portal.mardi4nfdi.de/entity/Q58758,Teng Gao,0000-0002-0196-689X
https://portal.mardi4nfdi.de/entity/Q58762,Peter V. Kharchenko,0000-0002-6036-5875
https://portal.mardi4nfdi.de/entity/Q58777,Po-Ru Loh,0000-0001-5542-9064
https://portal.mardi4nfdi.de/entity/Q58783,Zuchao Shen,0000-0003-3483-0451
https://portal.mardi4nfdi.de/entity/Q58793,Jordan Mark Barbone,0000-0001-9788-3628
https://portal.mardi4nfdi.de/entity/Q58864,Laurens Swinkels,0000-0002-1174-8079
https://portal.mardi4nfdi.de/entity/Q58872,Edward Burn,0000-0002-9286-1128
https://portal.mardi4nfdi.de/entity/Q58875,Enrico Schumann,0000-0001-7601-6576
https://portal.mardi4nfdi.de/entity/Q58900,Mickaël Canouil,0000-0002-3396-4549
https://portal.mardi4nfdi.de/entity/Q58913,Olivier Sand,0000-0003-1465-1640
https://portal.mardi4nfdi.de/entity/Q58915,Lorella Marselli,0000-0002-6698-2962
https://portal.mardi4nfdi.de/entity/Q58938,Roderick C Slieker,0000-0003-0961-9152
https://portal.mardi4nfdi.de/entity/Q58967,Massimo Aria,0000-0002-8517-9411
https://portal.mardi4nfdi.de/entity/Q58968,Trang le,0000-0003-3737-6565
https://portal.mardi4nfdi.de/entity/Q58971,Patrick Giraudoux,0000-0003-2376-0136
https://portal.mardi4nfdi.de/entity/Q58974,Marc Girondot,0000-0001-6645-8530
https://portal.mardi4nfdi.de/entity/Q58988,Joseph B Pfaller,0000-0002-6551-6644
https://portal.mardi4nfdi.de/entity/Q58991,Brian M. Shamblin,0000-0002-7915-9721
https://portal.mardi4nfdi.de/entity/Q58993,Campbell J Nairn,0000-0002-1690-1730
https://portal.mardi4nfdi.de/entity/Q59001,Joana Hancock,0000-0002-6171-8273
https://portal.mardi4nfdi.de/entity/Q59009,Rui Rebelo,0000-0003-2544-1470
https://portal.mardi4nfdi.de/entity/Q59023,Sebastian Gibb,0000-0001-7406-4443
https://portal.mardi4nfdi.de/entity/Q59031,Jack M. Wolf,0000-0002-8919-8740
https://portal.mardi4nfdi.de/entity/Q59055,Anders Granholm,0000-0001-5799-7655
https://portal.mardi4nfdi.de/entity/Q59057,Benjamin Skov Kaas-Hansen,0000-0003-1023-0371
https://portal.mardi4nfdi.de/entity/Q59076,Lennart Oelschläger,0000-0001-5421-9313
https://portal.mardi4nfdi.de/entity/Q59079,Robel Takele,0000-0003-0151-2537
https://portal.mardi4nfdi.de/entity/Q59091,Roman Hornung,0000-0002-6036-1495
https://portal.mardi4nfdi.de/entity/Q59115,Mark W. Albers,0000-0001-7855-3455
https://portal.mardi4nfdi.de/entity/Q59119,Marie-Laure Charpignon,0000-0002-5786-2627
https://portal.mardi4nfdi.de/entity/Q59129,Sarah A Boswell,0000-0002-3118-3378
https://portal.mardi4nfdi.de/entity/Q59141,Bradley Hyman,0000-0002-7959-9401
https://portal.mardi4nfdi.de/entity/Q59148,Ioanna Tzoulaki,0000-0002-4275-9328
https://portal.mardi4nfdi.de/entity/Q59148,Ioanna Tzoulaki,0000-0002-4275-9328
https://portal.mardi4nfdi.de/entity/Q60718,Kosuke Imai,0000-0002-2748-1022
https://portal.mardi4nfdi.de/entity/Q59309,Richard Iannone,0000-0003-3925-190X
https://portal.mardi4nfdi.de/entity/Q59311,Ellis Hughes,0000-0003-0637-4436
https://portal.mardi4nfdi.de/entity/Q59312,Alexandra Lauer,0000-0002-4191-6301
https://portal.mardi4nfdi.de/entity/Q59317,Jooyoung Seo,0000-0002-4064-6012
https://portal.mardi4nfdi.de/entity/Q59887,Daniel J. Lawson,0000-0002-5311-6213
https://portal.mardi4nfdi.de/entity/Q59887,Daniel J. Lawson,0000-0002-5311-6213
https://portal.mardi4nfdi.de/entity/Q59715,Matthias Studer,0000-0002-6269-1412
https://portal.mardi4nfdi.de/entity/Q59723,Gilbert Ritschard,0000-0001-7776-0903
https://portal.mardi4nfdi.de/entity/Q60048,Quentin F Gronau,0000-0001-5510-6943
https://portal.mardi4nfdi.de/entity/Q59194,Matt P. Wand,0000-0003-2555-896X
https://portal.mardi4nfdi.de/entity/Q59098,Sujit K. Sahu,0000-0003-2315-3598
https://portal.mardi4nfdi.de/entity/Q59114,Bang Zheng,0000-0003-1814-6692
https://portal.mardi4nfdi.de/entity/Q59116,Sudeshna Das,0000-0002-9486-6811
https://portal.mardi4nfdi.de/entity/Q59126,Artem Sokolov,0000-0002-8056-0504
https://portal.mardi4nfdi.de/entity/Q59199,Muhammad Yaseen,0000-0002-5923-1714
https://portal.mardi4nfdi.de/entity/Q59228,Santtu Tikka,0000-0003-4039-4342
https://portal.mardi4nfdi.de/entity/Q59232,Jouni Helske,0000-0001-7130-793X
https://portal.mardi4nfdi.de/entity/Q59235,Jose M. Pavía,0000-0002-0129-726X
https://portal.mardi4nfdi.de/entity/Q59241,Daniel Schuch,0000-0001-5977-4519
https://portal.mardi4nfdi.de/entity/Q59242,Sergio Ibarra-Espinosa,0000-0002-3162-1905
https://portal.mardi4nfdi.de/entity/Q59245,Edmilson Dias de Freitas,0000-0001-8783-2747
https://portal.mardi4nfdi.de/entity/Q59252,N.M. Crespo,0000-0002-3585-5100
https://portal.mardi4nfdi.de/entity/Q59253,M.F. Andrade,0000-0001-5351-8311
https://portal.mardi4nfdi.de/entity/Q59298,Øyvind Langsrud,0000-0002-1380-4396
https://portal.mardi4nfdi.de/entity/Q59304,Linlin Yan,0000-0002-4990-6239
https://portal.mardi4nfdi.de/entity/Q59347,Sascha Goebel,0000-0002-9032-5874
https://portal.mardi4nfdi.de/entity/Q59376,Minjeong Jeon,0000-0002-5880-4146
https://portal.mardi4nfdi.de/entity/Q59383,Martin Bladt,0000-0002-3121-3936
https://portal.mardi4nfdi.de/entity/Q59384,Jorge Yslas,0000-0001-5624-6163
https://portal.mardi4nfdi.de/entity/Q59404,Pedro Pacheco,0000-0003-4804-1576
https://portal.mardi4nfdi.de/entity/Q59405,Marcel Vieira,0000-0002-0456-380X
https://portal.mardi4nfdi.de/entity/Q59418,Daisy Yi Ding,0000-0003-2914-9557
https://portal.mardi4nfdi.de/entity/Q59430,Derek Corcoran,0000-0002-0248-6230
https://portal.mardi4nfdi.de/entity/Q59431,M. Isidora Ávila-thieme,0000-0003-0772-4717
https://portal.mardi4nfdi.de/entity/Q59446,Pablo A. Marquet,0000-0001-6369-9339
https://portal.mardi4nfdi.de/entity/Q59446,Pablo A. Marquet,0000-0001-6369-9339
https://portal.mardi4nfdi.de/entity/Q59447,Erik Kusch,0000-0002-4984-7646
https://portal.mardi4nfdi.de/entity/Q59453,Christian Sigg,0000-0003-1067-9224
https://portal.mardi4nfdi.de/entity/Q59473,Joseph R. Stinziano,0000-0002-7628-4201
https://portal.mardi4nfdi.de/entity/Q59478,Chris Muir,0000-0003-2555-3878
https://portal.mardi4nfdi.de/entity/Q59607,Carine Klauberg,0000-0002-6898-5593
https://portal.mardi4nfdi.de/entity/Q59608,Ricardo Dalagnol,0000-0002-7151-8697
https://portal.mardi4nfdi.de/entity/Q59609,Matheus Pinheiro Ferreira,0000-0003-0687-4422
https://portal.mardi4nfdi.de/entity/Q59611,Caio Hamamura,0000-0001-6149-5885
https://portal.mardi4nfdi.de/entity/Q59625,Eben N Broadbent,0000-0002-4488-4237
https://portal.mardi4nfdi.de/entity/Q59631,J.o. Skøien,0000-0002-8706-1986
https://portal.mardi4nfdi.de/entity/Q59675,January Weiner,0000-0003-1438-7819
https://portal.mardi4nfdi.de/entity/Q59684,Joanna Zyla,0000-0002-2895-7969
https://portal.mardi4nfdi.de/entity/Q59733,Malwane M. A. Ananda,0000-0002-8585-5360
https://portal.mardi4nfdi.de/entity/Q59737,Justin G Cally,0000-0003-4584-2220
https://portal.mardi4nfdi.de/entity/Q59738,Andy Teucher,0000-0002-7840-692X
https://portal.mardi4nfdi.de/entity/Q59739,Sam Albers,0000-0002-9270-7884
https://portal.mardi4nfdi.de/entity/Q59761,Armin Ströbel,0000-0002-6873-5332
https://portal.mardi4nfdi.de/entity/Q59764,Alan G. Haynes,0000-0003-1374-081X
https://portal.mardi4nfdi.de/entity/Q59779,Pablo Nájera,0000-0001-7435-2744
https://portal.mardi4nfdi.de/entity/Q59780,Miguel A. Sorrel,0000-0002-5234-5217
https://portal.mardi4nfdi.de/entity/Q59791,Francisco José Abad,0000-0001-6728-2709
https://portal.mardi4nfdi.de/entity/Q59805,Rodrigo Schames Kreitchmann,0000-0001-5199-9828
https://portal.mardi4nfdi.de/entity/Q59812,Andreas Schneider,0000-0001-5630-1097
https://portal.mardi4nfdi.de/entity/Q59830,Daniele da Re,0000-0002-3398-9295
https://portal.mardi4nfdi.de/entity/Q59841,Wim Van Bortel,0000-0002-6644-518X
https://portal.mardi4nfdi.de/entity/Q59871,Christophe Dutang,0000-0001-6732-1501
https://portal.mardi4nfdi.de/entity/Q59885,Yaoling Yang,0000-0003-4905-8097
https://portal.mardi4nfdi.de/entity/Q59888,William Barrie,0000-0003-0698-4955
https://portal.mardi4nfdi.de/entity/Q59889,Kathrine E. Attfield,0000-0003-3387-521X
https://portal.mardi4nfdi.de/entity/Q59891,Evan K. Irving-Pease,0000-0003-1940-2192
https://portal.mardi4nfdi.de/entity/Q59894,Gabriele Scorrano,0000-0002-0887-4023
https://portal.mardi4nfdi.de/entity/Q59895,Lise Torp Jensen,0000-0002-5352-1868
https://portal.mardi4nfdi.de/entity/Q59896,Angelos P. Armen,0000-0002-0399-6996
https://portal.mardi4nfdi.de/entity/Q59897,Evangelos Antonios Dimopoulos,0000-0002-8508-704X
https://portal.mardi4nfdi.de/entity/Q59899,Aaron J Stern,0000-0001-7368-5520
https://portal.mardi4nfdi.de/entity/Q59901,Alba Refoyo-Martínez,0000-0002-3674-4007
