zbmath_id	author	author_ids	document_title	source	classifications	language	links	keywords	doi	publication_year	serial
oai:zbmath.org:5998063	Ha, Seung-Yeal; Jung, Sungeun; Slemrod, Marshall	ha.seung-yeal;jung.sungeun;slemrod.marshall	Fast-slow dynamics of planar particle models for flocking and swarming	J. Differ. Equations 252, No. 3, 2563-2579 (2012).	34C60;34E15;92D50	English	None	Cucker--Smale system;Fast--slow dynamics;Flocking;Swarming;Rayleigh friction	10.1016/j.jde.2011.09.014	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998064	Chen, Geng; Young, Robin	chen.geng;young.robin-l	Smooth solutions and singularity formation for the inhomogeneous nonlinear wave equation	J. Differ. Equations 252, No. 3, 2580-2595 (2012).	35L72;35L65;35B65;35B35;35Q31	English	https://arxiv.org/abs/1105.3174;http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.768.3111	wave equation;conservation laws;shock formation;nonlinear elasticity;compressible Euler equations;one space dimension	10.1016/j.jde.2011.09.004	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998065	Berchio, Elvise; Farina, Alberto; Ferrero, Alberto; Gazzola, Filippo	berchio.elvise;farina.alberto;ferrero.alberto;gazzola.filippo	Existence and stability of entire solutions to a semilinear fourth order elliptic problem	J. Differ. Equations 252, No. 3, 2596-2616 (2012).	35J61;35B08;35B53;35J30;35B40	English	None	biharmonic equations, exponential nonlinearity;radial solutions;stable solutions	10.1016/j.jde.2011.09.028	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998066	Hieber, Matthias; Naito, Yuka; Shibata, Yoshihiro	hieber.matthias;naito.yuka;shibata.yoshihiro	Global existence results for Oldroyd-B fluids in exterior domains	J. Differ. Equations 252, No. 3, 2617-2629 (2012).	35Q35;76D03;76D05;35A02	English	None	Oldroyd-B fluid;exterior domain;global solution	10.1016/j.jde.2011.09.001	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998067	Zhang, Yuxiang; Zhao, Xiao-Qiang	zhang.yuxiang;zhao.xiao-qiang	Bistable travelling waves in competitive recursion systems	J. Differ. Equations 252, No. 3, 2630-2647 (2012).	92D40;45G15;45M10	English	None	None	10.1016/j.jde.2011.10.005	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998068	Dávila, Juan; Topp, Erwin	davila.juan;topp.erwin	Concentrating solutions of the Liouville equation with Robin boundary condition	J. Differ. Equations 252, No. 3, 2648-2697 (2012).	35J60;35A20;35A21	English	None	Liouville equation;Robin boundary condition;concentration of solutions;singular limit	10.1016/j.jde.2011.09.036	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998069	Chen, Qionglei; Miao, Changxing	chen.qionglei;miao.changxing	Global well-posedness for the micropolar fluid system in critical Besov spaces	J. Differ. Equations 252, No. 3, 2698-2724 (2012).	35Q35;76A05;76B03;35Q30	English	https://arxiv.org/abs/1008.0219	micropolar fluid;Besov space	10.1016/j.jde.2011.09.035	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998070	Li, Yeping	li.yeping	Convergence of the compressible magnetohydrodynamic equations to incompressible magnetohydrodynamic equations	J. Differ. Equations 252, No. 3, 2725-2738 (2012).	76W05;76N15;35Q35;35Q60	English	None	convergence-stability principle;unique smooth solution;global solution;convergence rate	10.1016/j.jde.2011.10.002	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998071	Lei, Yutian; Li, Congming	lei.yutian;li.congming	Integrability and asymptotics of positive solutions of a \(\gamma \)-Laplace system	J. Differ. Equations 252, No. 3, 2739-2758 (2012).	35J47;35J50;45E10;45G05;35B09;35B40	English	None	\(\gamma\)-Laplace equations;Wolff potential;integrability;decay rate;Hardy-Littlewood-Sobolev inequality	10.1016/j.jde.2011.10.009	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
oai:zbmath.org:5998072	Guo, Zhengguang; Zhu, Mingxuan	guo.zhengguang;zhu.mingxuan	Wave breaking for a modified two-component Camassa-Holm system	J. Differ. Equations 252, No. 3, 2759-2770 (2012).	37L05;35Q35;26A12	English	None	two-component Camassa-Holm system;sufficient conditions;water waves	10.1016/j.jde.2011.09.041	2012	Elsevier (Academic Press), San Diego, CA;Journal of Differential Equations
